Method,Model,Mort Acc,Mort F1,Mort AUC,LOS Acc,LOS F1,LOS AUC,Avg Confidence
Zero-shot,gpt-4o,68.0%,0.579,0.680,48.0%,0.581,0.570,83.2%
1-shot ICL,gpt-4o,68.0%,0.600,0.680,44.0%,0.569,0.543,83.1%
3-shot ICL,gpt-4o,66.0%,0.541,0.660,59.0%,0.637,0.659,79.4%
Chain-of-Thought,gpt-4o,66.0%,0.585,0.660,54.0%,0.531,0.568,80.1%
Tree-of-Thoughts,gpt-4o,75.0%,0.762,0.750,53.0%,0.495,0.545,82.4%
Self-Consistency,gpt-4o,63.0%,0.543,0.630,52.0%,0.500,0.542,94.1%
Zero-shot (GPT-3.5),gpt-3.5-turbo,58.0%,0.364,0.580,63.0%,0.351,0.559,91.8%
CoT (GPT-3.5),gpt-3.5-turbo,62.6%,0.479,0.623,54.5%,0.384,0.512,81.6%
